Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,940,92882
,,,,,,,941,95296
,,,,,,,942,103120
,,,,,,,943,121278
,,,,,,,944,122120
,,,,,,,945,108560
,,,,,,,946,95854
,,,,,,,947,88916
,,,,,,,948,83530
,,,,,,,949,81158
,,,,,,,950,81978
,,,,,,,951,86654
,,,,,,,952,97568
,,,,,,,953,115368
,,,,,,,954,132816
,,,,,,,955,137044
,,,,,,,956,133122
,,,,,,,957,130402
,,,,,,,958,118798
,,,,,,,959,108954
,,,,,,,960,100924
,,,,,,,961,96028
,,,,,,,962,93318
,,,,,,,963,91986
,,,,,,,964,92608
,,,,,,,965,94554
,,,,,,,966,102168
,,,,,,,967,120022
,,,,,,,968,121442
,,,,,,,969,108014
,,,,,,,970,95700
,,,,,,,971,88860
,,,,,,,972,84436
,,,,,,,973,85726
,,,,,,,974,89472
,,,,,,,975,94892
,,,,,,,976,109610
,,,,,,,977,121792
,,,,,,,978,133538
,,,,,,,979,135088
,,,,,,,980,129538
,,,,,,,981,126402
,,,,,,,982,115706
,,,,,,,983,107632
,,,,,,,984,100650
,,,,,,,985,96750
,,,,,,,986,92620
,,,,,,,987,90936
,,,,,,,988,90652
,,,,,,,989,91046
,,,,,,,990,94072
,,,,,,,991,100028
,,,,,,,992,102540
,,,,,,,993,106124
,,,,,,,994,107894
,,,,,,,995,107534
,,,,,,,996,105240
,,,,,,,997,105708
,,,,,,,998,106506
,,,,,,,999,108254
,,,,,,,1000,111358
,,,,,,,1001,117508
,,,,,,,1002,124774
,,,,,,,1003,129210
,,,,,,,1004,127780
,,,,,,,1005,123836
,,,,,,,1006,119344
,,,,,,,1007,115018
,,,,,,,1008,109084
,,,,,,,1009,104310
,,,,,,,1010,100824
,,,,,,,1011,101448
,,,,,,,1012,101698
,,,,,,,1013,101842
,,,,,,,1014,104060
,,,,,,,1015,107544
,,,,,,,1016,103360
,,,,,,,1017,98388
,,,,,,,1018,96694
,,,,,,,1019,98180
,,,,,,,1020,101786
,,,,,,,1021,104398
,,,,,,,1022,99524
,,,,,,,1023,104070
,,,,,,,1024,110386
,,,,,,,1025,119072
,,,,,,,1026,130784
,,,,,,,1027,136848
,,,,,,,1028,137514
,,,,,,,1029,133908
,,,,,,,1030,127966
,,,,,,,1031,119498
,,,,,,,1032,112100
,,,,,,,1033,103240
,,,,,,,1034,99842
,,,,,,,1035,99590
,,,,,,,1036,100104
,,,,,,,1037,102354
,,,,,,,1038,109828
,,,,,,,1039,127670
,,,,,,,1040,128140
,,,,,,,1041,114592
,,,,,,,1042,102158
,,,,,,,1043,95122
,,,,,,,1044,90008
,,,,,,,1045,86840
,,,,,,,1046,87112
,,,,,,,1047,91384
,,,,,,,1048,101666
,,,,,,,1049,119126
,,,,,,,1050,137590
,,,,,,,1051,142366
,,,,,,,1052,138530
,,,,,,,1053,135264
,,,,,,,1054,121148
,,,,,,,1055,109872
,,,,,,,1056,101994
,,,,,,,1057,96968
,,,,,,,1058,92970
,,,,,,,1059,92444
,,,,,,,1060,92728
,,,,,,,1061,94782
,,,,,,,1062,102780
,,,,,,,1063,120284
,,,,,,,1064,127418
,,,,,,,1065,119006
,,,,,,,1066,108288
,,,,,,,1067,104824
,,,,,,,1068,98574
,,,,,,,1069,94314
,,,,,,,1070,91210
,,,,,,,1071,88718
,,,,,,,1072,98486
,,,,,,,1073,116002
,,,,,,,1074,131690
,,,,,,,1075,134498
,,,,,,,1076,129276
,,,,,,,1077,125790
,,,,,,,1078,113642
,,,,,,,1079,103884
,,,,,,,1080,95526
,,,,,,,1081,88970
,,,,,,,1082,86654
,,,,,,,1083,85300
,,,,,,,1084,85670
,,,,,,,1085,86676
,,,,,,,1086,94598
,,,,,,,1087,111914
,,,,,,,1088,120164
,,,,,,,1089,117356
,,,,,,,1090,112604
,,,,,,,1091,109992
,,,,,,,1092,106036
,,,,,,,1093,103982
,,,,,,,1094,104988
,,,,,,,1095,106342
,,,,,,,1096,110244
,,,,,,,1097,120142
,,,,,,,1098,133658
,,,,,,,1099,136062
